sec,CH1,CH40,
0.795,-0.0497437,0,
0.796,-0.0521851,0,
0.797,-0.0543213,0,
0.798,-0.0564575,0,
0.799,-0.0582886,0,
0.8,-0.0601196,0,
0.801,-0.0616455,0,
0.802,-0.0631714,0,
0.803,-0.0643921,0,
0.804,-0.0653076,0,
0.805,-0.0656128,0,
0.806,-0.0653076,0,
0.807,-0.0643921,0,
0.808,-0.0631714,0,
0.809,-0.0616455,0,
0.81,-0.0598145,0,
0.811,-0.0579834,0,
0.812,-0.0561523,0,
0.813,-0.0543213,0,
0.814,-0.0527954,0,
0.815,-0.0515747,0,
0.816,-0.0506592,0,
0.817,-0.0497437,0,
0.818,-0.0488281,0,
0.819,-0.0479126,0,
0.82,-0.0469971,0,
0.821,-0.0463867,0,
0.822,-0.045166,0,
0.823,-0.0439453,0,
0.824,-0.0427246,0,
0.825,-0.0418091,0,
0.826,-0.0408936,0,
0.827,-0.0402832,0,
0.828,-0.0402832,0,
0.829,-0.0405884,0,
0.83,-0.0411987,0,
0.831,-0.0415039,0,
0.832,-0.0418091,0,
0.833,-0.0421143,0,
0.834,-0.0424194,0,
0.835,-0.0430298,0,
0.836,-0.043335,0,
0.837,-0.0439453,0,
0.838,-0.0445557,0,
0.839,-0.045166,0,
0.84,-0.0457764,0,
0.841,-0.0463867,0,
0.842,-0.0463867,0,
0.843,-0.0463867,0,
0.844,-0.0460815,0,
0.845,-0.0454712,0,
0.846,-0.0442505,0,
0.847,-0.0427246,0,
0.848,-0.0408936,0,
0.849,-0.0387573,0,
0.85,-0.0363159,0,
0.851,-0.0335693,0,
0.852,-0.0305176,0,
0.853,-0.0271606,0,
0.854,-0.0238037,0,
0.855,-0.0204468,0,
0.856,-0.017395,0,
0.857,-0.0143433,0,
0.858,-0.0115967,0,
0.859,-0.00854492,0,
0.86,-0.00549316,0,
0.861,-0.00274658,0,
0.862,0.000305176,0,
0.863,0.00305176,0,
0.864,0.00579834,0,
0.865,0.00823975,0,
0.866,0.010376,0,
0.867,0.012207,0,
0.868,0.0137329,0,
0.869,0.0149536,0,
0.87,0.0161743,0,
0.871,0.0170898,0,
0.872,0.0183105,0,
0.873,0.0192261,0,
0.874,0.0201416,0,
0.875,0.020752,0,
0.876,0.0210571,0,
0.877,0.0210571,0,
0.878,0.020752,0,
0.879,0.0198364,0,
0.88,0.0186157,0,
0.881,0.0167847,0,
0.882,0.0149536,0,
0.883,0.0131226,0,
0.884,0.0112915,0,
0.885,0.0100708,0,
0.886,0.0088501,0,
0.887,0.00823975,0,
0.888,0.00793457,0,
0.889,0.00793457,0,
0.89,0.00823975,0,
0.891,0.00854492,0,
0.892,0.00915527,0,
0.893,0.00976563,0,
0.894,0.0109863,0,
0.895,0.0125122,0,
0.896,0.0143433,0,
0.897,0.0164795,0,
0.898,0.0189209,0,
0.899,0.0216675,0,
0.9,0.0241089,0,
0.901,0.0265503,0,
0.902,0.0286865,0,
0.903,0.0305176,0,
0.904,0.0317383,0,
0.905,0.0326538,0,
0.906,0.0332642,0,
0.907,0.0332642,0,
0.908,0.032959,0,
0.909,0.0326538,0,
0.91,0.0317383,0,
0.911,0.0305176,0,
0.912,0.0286865,0,
0.913,0.0268555,0,
0.914,0.0244141,0,
0.915,0.0216675,0,
0.916,0.0189209,0,
0.917,0.015564,0,
0.918,0.012207,0,
0.919,0.00854492,0,
0.92,0.00457764,0,
0.921,0.000305176,0,
0.922,-0.00427246,0,
0.923,-0.00915527,0,
0.924,-0.0140381,0,
0.925,-0.0189209,0,
0.926,-0.0241089,0,
0.927,-0.0289917,0,
0.928,-0.0335693,0,
0.929,-0.0378418,0,
0.93,-0.0415039,0,
0.931,-0.045166,0,
0.932,-0.0485229,0,
0.933,-0.0515747,0,
0.934,-0.0543213,0,
0.935,-0.0567627,0,
0.936,-0.0585938,0,
0.937,-0.0601196,0,
0.938,-0.0613403,0,
0.939,-0.0619507,0,
0.94,-0.062561,0,
0.941,-0.0628662,0,
0.942,-0.0628662,0,
0.943,-0.0628662,0,
0.944,-0.0628662,0,
0.945,-0.062561,0,
0.946,-0.0628662,0,
0.947,-0.0628662,0,
0.948,-0.0634766,0,
0.949,-0.0637817,0,
0.95,-0.0643921,0,
0.951,-0.0653076,0,
0.952,-0.065918,0,
